433791697008	동화 주머니
442381631600	가벼운 동화 주머니
446676598896	묵직한 은화 주머니
450971566192	터질듯한 은화 주머니
9448928051312	편전
18614388260976	망가진 비지오네
18618683228272	망가진 비지오네
18622978195568	망가진 비지오네
18657337933936	망가진 비지오네
18799071854704	망가진 비지오네
25769803776112	가방 확장 도구
25774098743408	소형 가방
25778393710704	중형 가방
25782688678000	특대형 가방
25791278612592	대형 가방
36511516983408	하얀뿔 반지
36515811950704	번개의 반지
36524401885296	검은 마력의 귀걸이
36528696852592	오우거의 반지
36532991819888	마녀의 반지
36545876721776	꽃잎 귀걸이
37366215475312	진홍의 추격자 사슬 갑옷
37800007172208	눈보라 결정 목걸이
39092792328304	에르난드 의장대 갑옷
39097087295600	타리브 천 의복
39517994090608	타리브 천 신발
39951785787504	타리브 천 장갑
40372692582512	베오넥 천 투구
40376987549808	타오르는 창공의 천 투구
40381282517104	할시우스 사제의 모자
40806484279408	마르니 전차 손대포
40810779246704	기계태엽 손대포
40832254083184	손대포 8호
40836549050480	비룡 손대포
43061342109808	랜턴
43091406880880	벌꿀
43134356553840	반짝반짝 푸른 바다 랜턴
43138651521136	슈라우드 랜턴
43142946488432	화려한 불꽃 문양 랜턴
43147241455728	검은 안개 랜턴
43151536423024	불꽃 랜턴
47248935223408	낚싯대
52415780880496	메이독스 가죽 갑옷
52420075847792	빌다인 가죽 갑옷
52424370815088	아도라트 가죽 갑옷
52428665782384	콜빌 가죽 갑옷
52432960749680	코비 가죽 갑옷
52437255716976	쉐르본 가죽 갑옷
52471615455344	굶주린 이빨 가죽 갑옷
52475910422640	헤일브린 가죽 갑옷
52480205389936	족제비 가죽 갑옷
52840982642800	흙 묻은 사란토스 가죽 신발
52845277610096	대형 레이기스 가죽 신발
52853867544688	굶주린 이빨 가죽 신발
52858162511984	카르타 판금 신발
52862457479280	에르난드 의장대 신발
52866752446576	족제비 가죽 신발
52871047413872	스콜라스톤 학자복 신발
52875342381168	에르난드 연회복 가죽 신발
52879637348464	양봉 신발
53270479372400	붉은 기수 가죽 장갑
53274774339696	대형 파비스 가죽 장갑
53283364274288	검은 날개 가죽 장갑
53287659241584	타오르는 창공의 가죽 장갑
53291954208880	굶주린 이빨 가죽 장갑
53296249176176	에르난드 의장대 장갑
53300544143472	헤일브린 가죽 장갑
53304839110768	족제비 가죽 장갑
53309134078064	카르타 가죽 장갑
53313429045360	양봉 장갑
53317724012656	볼르인 가죽 장갑
53712861003888	은빛 송곳니 투구
54116587929712	탐욕의 양날 도끼
54550379626608	거룩한 메아리 활
54554674593904	군자의 활
55405078118512	고블린왕의 보물 단검
56693568307312	덧없는 자의 철퇴
56697863274608	마르니 신봉자의 한손둔기
56702158241904	결의의 철퇴
57127360004208	마르니 장총
57140244906096	데메니스 영웅의 장총
57982058496112	왕의 서약
58411555225712	덧없는 자의 껍질
58428735094896	바르그란 방패
58433030062192	델레시아 장식 방패
59309203390576	나즈크 한손검
59313498357872	한기가 서린 한손검
59317793325168	에세리온 한손검
59322088292464	덧없는 자의 검
59704340381808	동사자 뼈 방패
60563333841008	저주받은 영혼의 판금 갑옷
60567628808304	붉은 기수 판금 갑옷
60571923775600	뮈어 판금 갑옷
60576218742896	스피탈 판금 갑옷
60597693579376	차가운 심장 판금 갑옷
60988535603312	암흑의 집행자 판금 신발
60992830570608	저주받은 영혼의 판금 신발
60997125537904	서리 내린 저주의 판금 신발
61418032332912	암흑의 집행자 판금 장갑
61422327300208	저주받은 영혼의 판금 장갑
61426622267504	진홍의 추격자 사슬 장갑
61435212202096	차가운 심장 판금 장갑
61439507169392	황동 파수꾼 판금 장갑
61443802136688	페일룬의 장갑
61847529062512	신념의 방랑자 판금 투구
61851824029808	저주받은 영혼의 판금 투구
